S-41000-beleuchtet;Werbepylon Vario-plus 41000 beleuchtet;Werbepylon-Vario-plus-41000-beleuchtet;http://www.werbetechnik-okay.de/;http://www.werbetechnik-okay.de/Werbepylon-Vario-plus-41000-beleuchtet;x;;;;;;;x;4000;x;
S-41000-unbeleuchtet;Werbepylon Vario-plus 41000 unbeleuchtet;Werbepylon-Vario-plus-41000-unbeleuchtet;http://www.werbetechnik-okay.de/;http://www.werbetechnik-okay.de/Werbepylon-Vario-plus-41000-unbeleuchtet;x;;;;;;;x;4000;;x
S-5000-beleuchtet;Werbepylon Vario-plus 5000 beleuchtet;Werbepylon-Vario-plus-5000-beleuchtet;http://www.werbetechnik-okay.de/;http://www.werbetechnik-okay.de/Werbepylon-Vario-plus-5000-beleuchtet;;x;;;;;;;8000;x;
S-5000-unbeleuchtet;Werbepylon Vario-plus 5000 unbeleuchtet;Werbepylon-Vario-plus-5000-unbeleuchtet;http://www.werbetechnik-okay.de/;http://www.werbetechnik-okay.de/Werbepylon-Vario-plus-5000-unbeleuchtet;;x;;;;;;;8000;;x
S-5000K-beleuchtet;Werbepylon Vario-plus 5000K beleuchtet;Werbepylon-Vario-plus-5000K-beleuchtet;http://www.werbetechnik-okay.de/;http://www.werbetechnik-okay.de/Werbepylon-Vario-plus-5000K-beleuchtet;;x;;;;x;;;8000;x;
S-5000K-unbeleuchtet;Werbepylon Vario-plus 5000K unbeleuchtet;Werbepylon-Vario-plus-5000K-unbeleuchtet;http://www.werbetechnik-okay.de/;http://www.werbetechnik-okay.de/Werbepylon-Vario-plus-5000K-unbeleuchtet;;x;;;;x;;;8000;;x
S-5000S-beleuchtet;Werbepylon Vario-plus 5000S beleuchtet;Werbepylon-Vario-plus-5000S-beleuchtet;http://www.werbetechnik-okay.de/;http://www.werbetechnik-okay.de/Werbepylon-Vario-plus-5000S-beleuchtet;;x;;;;;x;;5000;x;
S-5000S-unbeleuchtet;Werbepylon Vario-plus 5000S unbeleuchtet;Werbepylon-Vario-plus-5000S-unbeleuchtet;http://www.werbetechnik-okay.de/;http://www.werbetechnik-okay.de/Werbepylon-Vario-plus-5000S-unbeleuchtet;;x;;;;;x;;5000;;x
S-5000SK-beleuchtet;Werbepylon Vario-plus 5000SK beleuchtet;Werbepylon-Vario-plus-5000SK-beleuchtet;http://www.werbetechnik-okay.de/;http://www.werbetechnik-okay.de/Werbepylon-Vario-plus-5000SK-beleuchtet;;x;;;;x;x;;5000;x;
S-5000SK-unbeleuchtet;Werbepylon Vario-plus 5000SK unbeleuchtet;Werbepylon-Vario-plus-5000SK-unbeleuchtet;http://www.werbetechnik-okay.de/;http://www.werbetechnik-okay.de/Werbepylon-Vario-plus-5000SK-unbeleuchtet;;x;;;;x;x;;5000;;x
S-6000-beleuchtet;Werbepylon Vario-plus 6000 beleuchtet;Werbepylon-Vario-plus-6000-beleuchtet;http://www.werbetechnik-okay.de/;http://www.werbetechnik-okay.de/Werbepylon-Vario-plus-6000-beleuchtet;x;;;;;;;;3000;x;
S-6000-unbeleuchtet;Werbepylon Vario-plus 6000 unbeleuchtet;Werbepylon-Vario-plus-6000-unbeleuchtet;http://www.werbetechnik-okay.de/;http://www.werbetechnik-okay.de/Werbepylon-Vario-plus-6000-unbeleuchtet;x;;;;;;;;3000;;x
S-7000-unbeleuchtet;Werbepylon Vario-plus 7000 unbeleuchtet;Werbepylon-Vario-plus-7000unbeleuchtet;http://www.werbetechnik-okay.de/;http://www.werbetechnik-okay.de/Werbepylon-Vario-plus-7000unbeleuchtet;;x;;;;;;;3000;;x
S-8000-unbeleuchtet;Werbepylon Vario-plus 8000 unbeleuchtet;Werbepylon-Vario-plus-8000-unbeleuchtet;http://www.werbetechnik-okay.de/;http://www.werbetechnik-okay.de/Werbepylon-Vario-plus-8000-unbeleuchtet;x;;;;;;;;8000;;x
S-8000S-unbeleuchtet;Werbepylon Vario-plus 8000S unbeleuchtet;Werbepylon-Vario-plus-8000S-unbeleuchtet;http://www.werbetechnik-okay.de/;http://www.werbetechnik-okay.de/Werbepylon-Vario-plus-8000S-unbeleuchtet;x;;;;;;x;;5000;;x
S-9000-unbeleuchtet;Werbepylon Vario-plus 9000 unbeleuchtet;Werbepylon-Vario-plus-9000-unbeleuchtet;http://www.werbetechnik-okay.de/;http://www.werbetechnik-okay.de/Werbepylon-Vario-plus-9000-unbeleuchtet;;x;;;;;;;8000;;x
S-9000S-unbeleuchtet;Werbepylon Vario-plus 9000S unbeleuchtet;Werbepylon-Vario-plus-9000S-unbeleuchtet;http://www.werbetechnik-okay.de/;http://www.werbetechnik-okay.de/Werbepylon-Vario-plus-9000S-unbeleuchtet;;x;;;;;x;;5000;;x
